,name,level,stars_level,address,sold_tickets
253,九华天池,4A景区,,[安徽·池州·池州市],68
254,徽园,4A景区,0.8800000000000001,[安徽·合肥·合肥市],8
255,新安江山水画廊,4A景区,0.7,[安徽·黄山·歙县],4
256,胡雪岩纪念馆,,0.74,[安徽·宣城·绩溪县],62
257,关麓古村,3A景区,0.7,[安徽·黄山·黟县],4
258,障山大峡谷,,0.78,[安徽·宣城·绩溪县],6
259,花戏楼,4A景区,0.7,[安徽·亳州·毫州市],6
260,浮山,4A景区,0.7,[安徽·安庆·枞阳县],54
261,太极洞,4A景区,0.82,[安徽·宣城·广德县],60
262,胡宗宪尚书府,,0.8,[安徽·宣城·龙川风景区],6
263,安徽大别山主峰,4A景区,0.9800000000000001,[安徽·六安·霍山县],36
264,许村,,0.7,[安徽·黄山·歙县],59
265,水墨汀溪风景区,3A景区,,[安徽·宣城·泾县],12
266,赛金花故居,4A景区,0.7,[安徽·黄山·黟县],85
267,孔城老街景区,,,[安徽·安庆·桐城市],67
268,百丈崖,,,[安徽·池州·秋浦河],72
269,徽杭古道,4A景区,,[安徽·宣城·绩溪县],4
270,南京巷钱庄,3A景区,0.72,[安徽·亳州·毫州市],36
271,黄山雄村景区,4A景区,,[安徽·黄山·歙县],22
272,九子岩景区,4A景区,0.7,[安徽·池州·青阳县],4
273,黄山杨家寨,,,[安徽·黄山·黄山区],72
274,皇甫山,,0.72,[安徽·滁州·南谯区],45
275,黄山温泉-天下名泉,,,[安徽·黄山·黄山风景区],4
276,黄山醉温泉,4A景区,0.72,[安徽·黄山·屯溪区],4
277,皖西大裂谷,4A景区,0.78,[安徽·六安·金安区],12
278,宣纸文化园,,,[安徽·宣城·泾县],16
279,鸠兹古镇,,,[安徽·芜湖·鸠江区],28
280,大别山石窟风景区,4A景区,,[安徽·六安·金安区],4
281,秋浦河,4A景区,0.7,[安徽·池州·石台县],59
282,大别山彩虹瀑布,,,[安徽·安庆·岳西县],18
283,银屏山,3A景区,0.78,[安徽·合肥·巢湖市],38
284,鱼龙洞,,,[安徽·池州·石台县],48
285,自由家营地,,,[安徽·黄山·休宁县],55
286,九天银瀑风景区,,0.72,[安徽·宣城·宁国市],4
287,岱山湖,4A景区,0.72,[安徽·合肥·肥东县],99
288,天峡,4A景区,,[安徽·安庆·岳西县],2
289,柏庄儿童王国,,,[安徽·芜湖·弋江区],6
290,宁皇国际旅游度假区,,,[安徽·宣城·宁国市],48
291,陶渊明故居·守拙园景区,,,[安徽·黄山·黟县],6
292,天水涧,3A景区,,[安徽·六安·金寨县],56
293,皇藏峪国家森林公园,4A景区,1.0,[安徽·宿州·萧县],6
294,洞天湾风景区,,,[安徽·黄山·黄山区],41
295,大别山主峰龙井峡瀑布,,,[安徽·六安·安徽大别山主峰],66
296,黄山虎林园,,,[安徽·黄山·黄山区],2
297,竹音寺,,,[安徽·阜阳·迪沟],40
298,太和县环球嘉年华游乐园,,,[安徽·阜阳],76
299,丫山花海石林,4A景区,0.72,[安徽·芜湖·南陵县],89
